단어,빈도수
만나,9
경향,9
오르면,9
내리면,9
광고주,9
화폐,9
프로그램,9
포스,9
유화,9
순풍,9
양극화,9
DSR,9
정제,9
붓는다,9
MH,9
사이언스,9
류재철,9
훈장,9
돛,9
많은,9
도쿄,9
KOGAS,9
틈,9
완제,9
연구,9
감회,9
좌절,9
주식회사,9
TNA,9
SKHD,9
한눈,9
대박,9
집은,9
뭉친,9
공영,9
트랙,9
대어,9
이산화탄소,9
좋다,9
있었다,9
냄새,9
앞당기는,9
에어로,9
亞,9
기후변화,9
클럽,9
불굴,9
동화,9
페이,9
thebell,9
TECH,9
FIRE,9
대담,9
고삐,9
NAVER,9
법대,9
자동,9
침울한,9
내놓자,9
라는,9
공공,9
장씨,9
최씨,9
사주,9
집결,9
로보틱스,9
손잡아,9
브라질,9
과시,9
사이,9
금융위,9
채안,9
소방,9
취급,9
등판,9
Market,9
WatchIPO,9
맺다,9
거세진다,9
사후관리,9
미흡,9
째,9
TOP,9
긴급,9
강점,9
팜,9
폴리,9
개화,9
탑,9
외형,9
페이커,9
신소재,9
독립,9
픽,9
영국,9
이렇게,9
대성,9
띄웠다수소,9
IR,9
대화,9
웨이,9
전장,9
유플러스,9
커머스,9
검은,9
이커머스,9
위메프,9
티몬,9
중소,9
일까,9
돋보기,9
년생,9
두쿰,9
⑩韓,9
HVO,9
넘게,9
HE,9
메가딜,9
EPC,9
안간힘,9
포드,9
자리매,9
기체,9
시행,9
원유,9
아이디어,9
키맨,9
상공,9
범현대,9
오를,9
셀프,9
사슬,9
신뢰,9
산삼,9
리스,9
사야,9
에프,9
밝다,9
목,9
칠레,9
빨간,9
세계박람회,9
수주로,9
메가시티,9
인정,9
통근,9
이사장,9
사모펀드,9
총리,9
완전,9
텃밭,9
목적,9
그리고,9
위원장,9
정의,9
능력,9
옛말,9
「,9
가보니,9
우드,9
최연혜,9
」,9
펀딩,9
지난해,8
재경,8
LX,8
㎿,8
최선,8
누적,8
변동,8
곧,8
서비스,8
뉴투,8
중후,8
CO,8
장대,8
강원랜드,8
조절,8
SWOT,8
굿모닝,8
밑그림,8
복귀,8
디스,8
강제,8
EMR,8
MWh,8
골든타임,8
래,8
메,8
소개,8
上,8
됐다,8
노려,8
카운트,8
포장,8
조짐,8
머,8
SKT,8
쏟아져,8
